id,message,need_basic_supplies,need_medical_help,need_safety_rescue,need_shelter,people_status,msg_len
19065,"In several countries, these national forest programmes have been implemented with the support of the international donor community, UNDP, Global Environment Facility (GEF) mobilizing financial national and external resources for programmes and projects relevant to the CCD such as forest resources conservation and management, agro-forestry, watershed management, reforestation and a forestation, community forestry, extension and public awareness.",0,0,0,0,0,57
9315,We neeg help at village rappatrier haitien(adress) ,0,0,0,0,0,7
11982,BREAKiNG NEWS I just read about #Ha u00efti . earthquake hits 32 times in a row .We all should support those people.,0,0,0,0,0,22
3037,which unitransfer that open in Jacmel,0,0,0,0,0,6
6066,My problem is trying to get to school. i don't need food. if you can help me find a bus so I can go and continue my studies it would help. Thank you ,0,0,0,0,0,33
20955,"The fuel-efficient stoves also lower health risks by reducing unhealthy smoke and particle emissions, and reduces cooking times as the heat is concentrated.",0,0,0,0,0,23
6761,"I want to activate the internet in my phone, I do not know what to do. Can you help me ",0,0,0,0,0,20
21302,The distribution of the grants include: US $24.5 million for the resettlement of those families and communities made homeless as a result of the floods; US $120 million for rebuilding roads and bridges and rehabilitating railway systems and air transport facilities; US $63 million for the agricultural sector to provide new tools and livestock as well as for loan schemes for small-scale farmers reliant on farming.,0,0,0,0,0,66
17148,She further invited volunteers to her company to solicit donations from her colleagues.,0,0,0,0,0,13
24252,"One program UMCOR supports is able to feed a child with fortified porridge for 3.2 cents per day, give a family enough drought-resistant seeds to grow their food for $15, and feed a family of 5 for 15 cents per day.",0,0,0,0,0,41
8639,"Hey,send for Haiti we don't send a water bag.I want to know if jesus wan't come in the earth for every body,cause i see in all the zone, our is more neglijed. ",1,0,0,0,0,32
24028,"Emerging viral diseases such as ebola, marburg hemorrhagic fever and nipah virus pose threats to global public health security and also require containment at their source due to their acute nature and resulting illness and mortality,'' said a summarised version of the 2007 World Health report due to be released in Geneva tomorrow. These include household kits and shelter tool kits as many in Nepal have lost their homes. Unhealthy rivalry, political realignments and violent electioneering campaigns by political parties are adding to existing tensions. Most displaced families are living in crowded, unsanitary conditions, and most persons are consuming unboiled river water. The UN agency is supplying veterinary products to 20,000 beneficiaries chronically affected by food insecurity. The international aid agency will now scale up its work with the aim of reaching 10,000 people with shelter, medical supplies, food rations, emergency lighting, blankets and women's hygiene products. This is a vital step in ensuring respect for human rights and strengthening democracy. The ordinary people of Afghanistan had no hand in the appalling events of September 11th., and their government has no democratic mandate. On this occasion, Steering Committee of Vietnam Red Cross dicided to provide 500 houshold packages ( 1000 blankets, 500 mosquito nets, 500 cook kits, 500 of 40 liter water tanks, 500 of 10 liter water tanks and 500 water bowls.). The main delivery problem in Bengkulu city is damage to the reticulation system that has led to significant freshwater loss. Main sewage pumping station and central sewage pumping station are in working condition. Moreover, a 1-billion-THB emergency budget has been set aside by the BMA in order to be spent on improving the drainage system and dredging canals in the capital. In South Africa, the Protection of State Information Bill, known as the ""secrecy bill,"" remains a major concern in light of its restrictions on freedom of expression and the media, and democratic accountability. Peat consists of dense organic materials accumulated in lowland areas for 7,000 years or more and may be as much as 7 meters deep. Children in some parts of the country are dangerously malnourished. Planning and contracting for the distribution of rainwater harvesting tanks has been finalized for the delivery of 2,500 tanks to 18 atolls. Pyongyang, August 10 (KCNA) -- Kaechon-Joyang railway section in South Phyongan Province of the DPRK has been rehabilitated from flood damage in a short span of time, fully displaying the great army-people unity. After rescuers, armed with shovels, pulled bodies from collapsed buildings and mud, they placed them in makeshift morgues set up in the capital. [2] If say, scientists and engineers were able to apportion responsibility between natural phenomenon and governmental action or inaction - a failure to protect, if you will - to what extent could relevant authorities be held legally accountable?. UNICEF and partners have also installed water bladders in Jacobabad, with additional bladders due to arrive shortly across flood-hit areas of Sindh. WE are living in a nuclear state which has developed ballistic missiles, cruise missiles, trainer/fighter aircraft, tanks and armed drones. ZIMBABWE - While drought has devastated crops in many areas, Zimbabwe's overall production was also hampered by insufficient agricultural inputs and by the country's crumbling irrigation system. Mr. Nakao reinforced Mr. Mahat's views by adding that Nepal has been implementing sound macroeconomic policies, structural reforms, investment in health and education, together with the efforts to enact a new democratic constitution, and it is disheartening to see this devastation. In Bangladesh, people began taking their livestock to higher ground at first sight of the rising waters, and built dams with water hyacinths to surround their houses - preventing, or at least lessening, the water entering their homes. One initially afebrile patient (2G), with clinical symptoms consistent with appendicitis or pelvic inflammatory disease, received care at two clinics and was hospitalized at a third facility for 7 days before being transferred to an ETU. Sweaters for women and children and hygiene kits comprising of soap, washing detergent, towels, candles, matchboxes etc were distributed. Military units from the Russian base in Kulob took part in the rescue operation and offered armored vehicles to help transport victims to safer areas. Livestock, crops, rural and urban housing, roads, river and canal embankments, and other infrastructure suffered extensive damage, as vast areas of land were submerged. Finally, one million francs (plus 5 million contributed by the Swiss Red Cross and Swiss Solidarity) was used mainly to rehabilitate Banda Aceh's main water purification station and three sub-stations in the city of Banda Aceh and Aceh Besar district. The 12 illnesses covered are: malignant tumors (including leukemia); organ and stem cell transplant; acute kidney failure; aplastic anemia; benign brain tumors; acute hepatitis; sequelae of cerebritis or meningitis; infantile paralysis; serious juvenile rheumatoid arthritis; serious Kawasaki disease; Myasthenia Gravis; and insulin-dependent diabetes mellitus. With two years until the deadline for the Millennium Development Goals, World Vision is using UNICEF's report as well as their own, to urge governments to finish the job and take every step possible to close the health gap in their countries. The hot mud began bubbling up from deep underground in late May after exploratory drilling at the site by local gas firm PT Lapindo Brantas. Over 70 per cent of households reported inadequate access to clean water because of damage to rainwater collection systems and saltwater contamination of ponds. This grant will build on an established agri-business skills training programme which educates and assists farmers and communities in sustainable farming practices. Nevertheless, with the Toktogul reservoir low and limited potential to significantly increase thermal generation, there will be shortages.",1,1,0,1,1,934
801,"People in grand goave, especially n Foch. we are hungry and we are sleeping in the street. please help",1,0,0,1,0,19
23860,"The public health professionals will be working to assist victims of the December 26, 2004, earthquake and tsunami through disease surveillance, health care and restoring water and sanitation.",1,1,0,0,0,28
12845,Best thing about the storm : the green light 4 over-consumption . Eat as much as you can ! Drink all your booze ! Buy batteries for god 's sake !,1,0,0,0,0,31
10351,Digicel! Do not let me die of hunger and the name of God will bless you.Svp! ,1,0,0,0,0,16
12874,"My daughters and I would love to donate our time to help those in need . My daughters are teenagers . We can help with food prep , service , child care , pet care , transportation . Just let us know what we can do ! We are here to help !",1,0,0,0,0,53
1057,"We need food and water in Leogane, please.",1,0,0,0,0,8
26679,"In addition, two AN 32 Aircrafts and one IL 76 (20 MT) with full load ( 4 MT) of relief material consisting blankets, clothes, drinking water and foods packets, will leave on 27th December, 2004 for Islands one each from Bhubneshwar, Bhuj, and Ahmedabad.",1,0,0,1,0,44
18795,"Although the drought has lasted several years in this region, monsoon failure is a common occurance in Kutch and most of the area has saline groundwater, leaving few parts of the province with usable drinking water.",1,0,0,0,0,36
4402,"We need food, water, medicines in the area Petite Place Marchands Communs Dessalines, we are nearly 100 people living in the Petite Place of the Marchands, we haven't gotten ",1,1,0,0,0,29
18730,"Three firefighting helicopters Ka-32 and one Mi-26 are ready to fight fires in Shaturskiy, Yegoryevskiy and Orekhovo-Zuevo Regions. Australia's representative welcomed that IAEA's Director General had quickly set up a task force to enhance response capacities to outbreaks of zoonotic diseases, including the Ebola virus. Meanwhile, in Jakarta, incessant rain and high tides inundated several subdistricts in North and West Jakarta, the Jakarta Regional Disaster Mitigation Agency (BPBD) spokesman, Bambang Surya Putra, said on Friday. In the epicentral region of this earthquake, the Australian plate moves northwestwards with respect to the Sunda Plate at a rate of approximately 65 mm/yr. The south and centre of Mozambique have been affected over the last few days by a cold front that has brought thundery showers, particularly in coastal areas. Those living within the mountain range will be more exposed to cold conditions with possible snowfall, while others further into the valley will experience milder temperatures. Northwestern Rajshahi suffered the lowest temperatures in Bangladesh, plunging to 3.4 degrees Celsius (38 Fahrenheit) January 22. Strong wind, hailstorm and rain hit several municipalities of eastern Georgian region of Kakheti late on Monday. The northern mountainous regions normally receive 25% of total snowfall in the months of December and January, whereas only a quarter of it was recorded in these months. In most of the country planning for cold weather preparedness seems to be concluding in positive coordination efforts on the part of the NGOs as well as the UN. Jeremy Hobbs, Commnity Aid Abroad-Oxfam Australia's Executive Director said: Australians are well aware of the effects of devastating floods.",0,1,0,0,0,263
27728,"The mujahedeen fighters, in their bid to help people displaced by drought, started working on plans to send them back home where they will be assisted, God willing, said Sheik Mahad Abu-Safiya, a senior Shebab official.",0,1,0,1,1,36
18986,"In December the KRCS launched a floods appeal that was set to support 563,000 affected people for four months.",1,1,0,1,0,19
21179,"The gunmen arrived around 7:30 pm (1830 GMT), firing guns and shouting 'Allahu Akbar!'. Fartun notes, ""I am grateful to International Medical Corps that I received the personal hygiene items for free which will enable me and my family to have good personal hygiene."". Now the few water tanks used to collect rainwater have been destroyed. The cross-border movement of the human remains of deceased suspect, probable or confirmed EVD cases should be prohibited unless specifically authorized on a case-by-case basis by relevant national authorities of both the exporting and receiving country. Flooding is an annual occurrence in Thailand, most of which lies in the drainage basin of the Chao Phraya River flowing from the confluence of the Ping and Nan rivers in the north. With the Ministry of Rural Rehabilitation and Development as the major counterpart, the WES programme aims, to construct or rehabilitate handpumps, dug wells, boreholes, latrines, piped water systems, and sanitation systems. International aid agencies on the ground hope this will go towards constructing wells and latrines to deal with the underlying causes of the outbreak. Across the board, households are spending a higher proportion of their limited incomes on their food needs; they are consuming smaller quantities, less frequently; and they are eating cheaper and in many (but by no means all) cases, less nutritious foods. The assets and logistical capability provided by military forces after the tsunami were essential in ensuring humanitarian supplies were delivered swiftly. Other specialists are working to clean up polluted wells in the Meulaboh region. Sukamto said the haze could lead to lung infections and pneumonia that sometimes can become fatal. The Southern part of Madagascar is subject to cyclical drought. As well, just this morning, Pepsico hosted a breakfast symposium on undernutrition with leading experts from the Gates Foundation, Save the Children, GAIN and Valid International, all sitting along side Pepsi reseachers and discussing new approaches to address global child undernutrition. His appeal to donors making generous pledges was for them to earmark the monies, such as to the regional component, or to Indonesia, Somalia and so forth. In addition, a secondary school for 132 pupils, a post office, club, library, medical center, substation have been built. A massive rescue operation is under way,"" Dass added, as hundreds of paramilitary troopers were rushed to the disaster site in Sumgarh town, some 450 kilometres (279 miles) from state capital of Dehradun.",1,1,0,1,1,401
3777,"The people of Saut D'eau need help, please help them ",0,0,0,0,0,10
14893,"Favorite sandy potential victim quote ""I'm battlin' sandy with rum. It says one part grapefruit juice, splash of cranberry and grenadine.""",0,1,0,0,0,21
24557,Parents hesitated to send children to school on paths slick with rainfall; carrying a sick person to the hospital proved risky for all involved; and grazing cattle sometimes slipped to their deaths.,0,1,0,0,1,32
5668,"We need an organization in Leogane, the i area it is an emergency we need help for 800 families, and a doctor for the children. ",0,1,0,0,0,25
27361,They are also providing mobile clinic services to smaller evacuation shelters.,0,1,0,1,0,11
28880,"More heavy rain was forecast for the upper reaches of the Huai on Wednesday night and throughout Thursday to compound the disaster, China Central Television said, showing pictures of troops rescuing stranded villagers in speedboats.",0,0,1,0,0,35
22532,Police and military officials are going door-to-door to enforce a mandatory evacuation order.,0,0,1,0,0,13
16257,"The heavy rains also affected Tamil rebel-held northern areas, where government troops are continuing military operations.",0,0,1,0,0,16
27191,"Abala Malian refugee camp, north Filingué region: Mid-January 2012, the uprising of an armed conflict between rebels and the Malian State resulted in a massive population displacement towards bordering countries, notably Niger.",0,0,1,0,1,32
26207,"This was beyond our capacity but the army gave us support, he said in Muzaffarabad, which has become a city of death after the killer earthquake razed houses, bazars, hotels and government buildings ranging from the territory's main university and colleges to the local jail.",1,1,1,1,1,45
17389,"Ministry officials said they had been trying to deploy health workers to badly affected areas using two military helicopters, but the aircraft were only of limited use due to the continuing appalling weather conditions, a spokesman said.",0,1,1,0,0,37
25864,"Annual monsoon rains triggered rounds of flooding in many parts of the country, killing several hundred people, destroying livestock and vast acreages of crops, and forcing millions from their homes.",0,1,1,0,1,30
28655,"No group has claimed responsibility but Chad and its allies immediately blamed the insurgents, who have carried out a series of bloody attacks in border areas of countries that share a frontier with northeastern Nigeria.",0,0,1,0,0,35
18898,"Our emergency programs in water and sanitation, health, and nutrition will help earthquake victims on many levels, but with winter conditions developing, we're facing severe shortages in key areas and need your help with any of the following:",1,1,1,0,0,38
